mag_id	contig	position	gene_id	test_type	min_p_value	q_value
MAG_001	MAG_001.fa_contig1	248	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	2.13e-05	3.30e-04
MAG_001	MAG_001.fa_contig1	322	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	3.67e-05	6.94e-04
MAG_001	MAG_001.fa_contig1	339	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	4.28e-05	7.40e-04
MAG_001	MAG_001.fa_contig1	359	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	3.62e-05	3.76e-04
MAG_001	MAG_001.fa_contig1	408	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	5.19e-05	3.04e-04
MAG_001	MAG_001.fa_contig1	606	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	7.44e-05	1.15e-03
MAG_001	MAG_001.fa_contig1	665	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	3.17e-05	5.56e-04
MAG_001	MAG_001.fa_contig1	693	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	4.42e-05	5.64e-04
MAG_001	MAG_001.fa_contig1	720	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	2.07e-05	2.81e-04
MAG_001	MAG_001.fa_contig1	761	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	5.11e-05	3.29e-04
MAG_001	MAG_001.fa_contig1	791	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	7.53e-05	1.30e-03
MAG_001	MAG_001.fa_contig1	806	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	7.98e-05	1.40e-03
MAG_001	MAG_001.fa_contig1	807	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	7.93e-05	9.14e-04
MAG_001	MAG_001.fa_contig1	906	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	4.73e-05	5.60e-04
MAG_001	MAG_001.fa_contig1	951	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	8.20e-05	6.06e-04
MAG_001	MAG_001.fa_contig2	744	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	2.45e-05	3.70e-04
MAG_001	MAG_001.fa_contig2	817	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	8.35e-05	6.21e-04
