mag_id	contig	position	gene_id	test_type	min_p_value	q_value
MAG_001	MAG_001.fa_contig1	367	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	3.42e-05	4.07e-04
MAG_001	MAG_001.fa_contig1	425	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	1.01e-05	1.22e-04
MAG_001	MAG_001.fa_contig1	449	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	4.07e-05	4.08e-04
MAG_001	MAG_001.fa_contig1	472	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	3.95e-05	4.65e-04
MAG_001	MAG_001.fa_contig1	535	MAG_001.fa_contig1_gene2	two_sample_paired_tTest	7.03e-05	9.98e-04
MAG_001	MAG_001.fa_contig1	647	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	9.31e-06	6.83e-05
MAG_001	MAG_001.fa_contig1	654	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	1.97e-05	3.93e-04
MAG_001	MAG_001.fa_contig1	708	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	7.01e-05	1.21e-03
MAG_001	MAG_001.fa_contig1	740	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	1.44e-05	8.06e-05
MAG_001	MAG_001.fa_contig1	783	MAG_001.fa_contig1_gene1	two_sample_paired_tTest	1.95e-05	1.02e-04
MAG_001	MAG_001.fa_contig1	795	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	7.13e-06	1.11e-04
MAG_001	MAG_001.fa_contig1	812	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	2.18e-05	1.55e-04
MAG_001	MAG_001.fa_contig1	864	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	6.35e-05	7.58e-04
MAG_001	MAG_001.fa_contig1	873	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	2.47e-06	4.21e-05
MAG_001	MAG_001.fa_contig1	884	MAG_001.fa_contig1_gene3	two_sample_paired_tTest	8.94e-05	1.12e-03
MAG_001	MAG_001.fa_contig2	754	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	2.16e-06	1.88e-05
